Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address,google_type,google_latitude,google_longitude
1,Abbotsford Recreation Centre,Ice,2+ surfaces,Both,Public,,"2499 MCMILLAN RD, ABBOTSFORD, BC",ROOFTOP,49.0483664,-122.2629637
8,Matsqui Recreation Centre (MRC),Leisure / Community Centres,General,Indoor,Public,,"3106 CLEARBROOK RD, ABBOTSFORD, BC",ROOFTOP,49.0585882,-122.3351546
13,Abbotsford Youth Commission,Leisure / Community Centres,Youth,Indoor,Public,1.0,"33355 BEVAN AVE, ABBOTSFORD, BC",ROOFTOP,49.0435524,-122.3005743
14,Abbotsford Seniors Association,Leisure / Community Centres,Seniors,Indoor,Public,1.0,"2631 CYRIL ST, ABBOTSFORD, BC",ROOFTOP,49.0492503,-122.2866519
15,MSA Arena,Ice,Single surface,Indoor,Public,,"2323 EMERSON ST, ABBOTSFORD, BC",ROOFTOP,49.0441487,-122.3194607
16,Abbotsford Exhibition Park,Ice,Single surface,Indoor,Public,,"32470 HAIDA DR, ABBOTSFORD, BC",GEOMETRIC_CENTER,49.0630841,-122.324455
19,The Rinks at Summit Centre,Ice,2+ surfaces,Indoor,Public,,"104-3600 TOWNLINE RD, ABBOTSFORD, BC",ROOFTOP,49.068299,-122.358963
20,Abbotsford Ice Rink,Ice,Single surface,Indoor,Public,1.0,"34100S S FRASER WAY UNIT #14, ABBOTSFORD, BC",,0.0,0.0
21,Abbotsford Centre,Ice,Single surface,Indoor,Public,,"33800 KING RD, ABBOTSFORD, BC",GEOMETRIC_CENTER,49.0306471,-122.287015
23,Envision Financial Athletic Centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Both,,"1395 MCKENZIE RD, ABBOTSFORD, BC",ROOFTOP,49.0271404,-122.2841262
25,Great West Fitness and Tennis Club,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"2550 YALE CT, ABBOTSFORD, BC",ROOFTOP,49.0471346,-122.269297
27,Performance Tennis Academy,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,,"2550 YALE CT #125, ABBOTSFORD, BC",,0.0,0.0
28,Jubilee Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"7989 BRADNER RD, ABBOTSFORD, BC",ROOFTOP,49.1478438,-122.4276808
29,Sweeney Neighbourhood Centre,Leisure / Community Centres,General,Indoor,Public,,"33355 BEVAN AVE, ABBOTSFORD, BC",ROOFTOP,49.0435524,-122.3005743
30,Straiton Community Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"4698 SUMAS MOUNTAIN RD, ABBOTSFORD, BC",ROOFTOP,49.0879311,-122.2050951
31,Matsqui Community Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"33676 ST OLAF AVE, ABBOTSFORD, BC",ROOFTOP,49.1069518,-122.2918682
32,Bradner Hall,Leisure / Community Centres,General,Indoor,Public,,"5305 BRADNER RD, ABBOTSFORD, BC",ROOFTOP,49.098568,-122.426829
33,Mission Leisure Centre,Ice,2+ surfaces,Indoor,Public,,"7650 GRAND ST, MISSION, BC",ROOFTOP,49.1405998,-122.3069265
41,Mission Golf & Country Club,Leisure / Community Centres,General,Indoor,Private,,"7983 NELSON ST, MISSION, BC",RANGE_INTERPOLATED,49.1472701,-122.3562047
42,Mission Seniors Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,1.0,"33100 10 AVE, MISSION, BC",ROOFTOP,49.1424253,-122.3066512
44,Kelowna Memorial Arena,Ice,Single surface,Indoor,Public,,"1424 ELLIS ST, KELOWNA, BC",ROOFTOP,49.8886461,-119.494442
45,Capital News Centre,Ice,2+ surfaces,Indoor,Public,1.0,"4105 GORDON DR, KELOWNA, BC",ROOFTOP,49.8360301,-119.4800257
50,Rutland Twin Arena,Ice,2+ surfaces,Indoor,Public,,"645 DODD RD, KELOWNA, BC",ROOFTOP,49.8980395,-119.3798216
51,Kelowna Curling Club,Ice,Curling,Indoor,Public,1.0,"551 RECREATION AVE, KELOWNA, BC",ROOFTOP,49.8971953,-119.4920492
52,H2O Adventure + Fitness Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"4075 GORDON DR, KELOWNA, BC",ROOFTOP,49.83787239999999,-119.4809499
57,Kelowna Family YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"375 HARTMAN RD, KELOWNA, BC",ROOFTOP,49.8984056,-119.3818894
62,Parkinson Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"1800 PARKINSON WAY, KELOWNA, BC",ROOFTOP,49.884,-119.459
67,Kelowna Downtown YMCA,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"1011-505 DOYLE AVE, KELOWNA, BC",ROOFTOP,49.8888651,-119.4926748
69,Energyplex Family Recreation Centre Kelowna,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,"948 MCCURDY RD, KELOWNA, BC",ROOFTOP,49.902888,-119.4048485
70,Rutland Activity Centre,Leisure / Community Centres,General,Indoor,Public,,"765 DODD RD, KELOWNA, BC",ROOFTOP,49.8976324,-119.3803911
73,Kinsmen Media Centre,Leisure / Community Centres,General,Indoor,Public,,"900 LEXINGTON DR, KELOWNA, BC",RANGE_INTERPOLATED,49.8401815,-119.4736091
74,Kinsmen Fieldhouse Hall,Leisure / Community Centres,General,Indoor,Public,,"3975 GORDON DR, KELOWNA, BC",ROOFTOP,49.8396134,-119.4821424
75,Metis Community Services,Leisure / Community Centres,General,Indoor,Public,,"147 PARK RD, KELOWNA, BC",ROOFTOP,49.8883032,-119.3884439
76,Airhouse Kelowna,Physical Recreation & Sports,Skate parks,Indoor,Public,,"730 MCCURDY RD, KELOWNA, BC",ROOFTOP,49.9015918,-119.4004125
78,Okanagan Jewish Community Centre,Leisure / Community Centres,General,Indoor,Public,,"102 SNOWSELL ST N, KELOWNA, BC",ROOFTOP,49.92890329999999,-119.4381622
79,Joe Rich Community Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"11481 BC-33, KELOWNA, BC",ROOFTOP,49.8644547,-119.1411549
80,Kelowna Badminton Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"1098 RICHTER ST, KELOWNA, BC",ROOFTOP,49.8956712,-119.4889277
81,The Hangar Fitness and Wellness Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"3211 ATHLETICS CT, KELOWNA, BC",ROOFTOP,49.938546,-119.3973762
85,Cedar Creek Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5160 CHUTE LAKE RD, KELOWNA, BC",ROOFTOP,49.7959156,-119.5024797
86,Kelowna United Mission Soccer Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,1.0,"4075 GORDON DRIVE, KELOWNA, BC",ROOFTOP,49.83787239999999,-119.4809499
87,Okanagan Mission Activity Centre,Leisure / Community Centres,General,Indoor,Public,,"4398 HOBSON RD, KELOWNA, BC",ROOFTOP,49.8263898,-119.4984744
89,Prospera Place,Ice,Single surface,Indoor,Public,1.0,"1223 WATER STREET, KELOWNA, BC",ROOFTOP,49.89264,-119.4952925
90,Okanagan Boys & Girls Clubs ,Leisure / Community Centres,General,Indoor,Public,,"355 HARTMAN ROAD, KELOWNA, BC",ROOFTOP,49.89970350000001,-119.3811293
91,Martin Avenue Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1434 GRAHAM ST, KELOWNA, BC",ROOFTOP,49.8883658,-119.4802047
92,Okanagan Mission Community Hall Association,Leisure / Community Centres,General,Indoor,Public,,"4409 LAKESHORE ROAD, KELOWNA BC",ROOFTOP,49.8223785,-119.4878523
93,Ellison Community Hall,Leisure / Community Centres,General,Indoor,Public,,"4411 OLD VERNON RD, KELOWNA, BC",ROOFTOP,49.94794580000001,-119.3681441
94,East Kelowna Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"2704 EAST KELOWNA ROAD, KELOWNA, BC",ROOFTOP,49.8600535,-119.4243848
95,Rutland Centennial Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"215 SHEPHERD ROAD KELOWNA, BC",ROOFTOP,49.8903143,-119.3890255
96,Jim Lind Arena,Ice,Single surface,Indoor,Public,,"2760 CAMERON RD, WEST KELOWNA, BC",ROOFTOP,49.858206,-119.5821069
97,Ultimate Hockey Centre,Ice,Single surface,Indoor,Private,,"1322 STEVENS RD, WEST KELOWNA, BC",ROOFTOP,49.8667688,-119.5703949
98,Royal LePage Place Arena,Ice,Single surface,Indoor,Both,,"2760 CAMERON RD, WEST KELOWNA, BC",ROOFTOP,49.858206,-119.5821069
100,Johnson Bentley Memorial Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"3737 OLD OKANAGAN HWY, WEST KELOWNA, BC",GEOMETRIC_CENTER,49.82660629999999,-119.6227361
104,Lakeview Heights Community Hall,Leisure / Community Centres,General,Indoor,Public,,"860 ANDERS RD, WEST KELOWNA, BC",ROOFTOP,49.8604115,-119.5492589
105,West Kelowna Multi-Sport Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,,"2139 MCDOUGALL RD, WEST KELOWNA, BC",ROOFTOP,49.8764152,-119.5710446
107,Westside Senior Citizens Service Association Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"3661 OLD OKANAGAN HWY, WEST KELOWNA, BC",ROOFTOP,49.8306668,-119.624962
109,Webber Road Community Centre,Leisure / Community Centres,Youth,Indoor,Public,,"2829 INVERNESS RD, WEST KELOWNA, BC",ROOFTOP,49.8308477,-119.6496106
111,Westbank Lions Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2466 MAIN ST, WEST KELOWNA, BC",ROOFTOP,49.8301862,-119.6291755
112,Westside Youth Centre,Leisure / Community Centres,Youth,Indoor,Public,,"2466 MAIN ST, WEST KELOWNA, BC",ROOFTOP,49.8301862,-119.6291755
113,Winfield Arena,Ice,Single surface,Indoor,Public,,"9830 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC",GEOMETRIC_CENTER,50.0245124,-119.4004855
114,Lake Country Seniors Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"9832 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC",ROOFTOP,50.024776,-119.3993587
115,Okanagan Centre Hall,Leisure / Community Centres,General,Indoor,Public,,"11099 MADDOCK AVE, LAKE COUNTRY, BC",ROOFTOP,50.0444125,-119.449004
116,Beasley Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3450 WOODSDALE RD, LAKE COUNTRY, BC",GEOMETRIC_CENTER,50.0506929,-119.3968896
117,Peachland Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4450 6 ST, PEACHLAND, BC",ROOFTOP,49.77731290000001,-119.7350223
118,Peachland Wellness Centre,Leisure / Community Centres,General,Indoor,Public,,"4426 5TH ST, PEACHLAND, BC",ROOFTOP,49.775929,-119.7353556
119,50+ Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"5672 BEACH AVE, PEACHLAND, BC",ROOFTOP,49.778313,-119.733542
121,Okanagan Training Rink,Ice,Single surface,Indoor,Public,1.0,"5204 27 AVE, VERNON, BC",ROOFTOP,50.2575598,-119.3062364
122,Douglas Park Community Centre,Leisure / Community Centres,General,Both,Public,,"801 W 22ND AVE, VANCOUVER, BC",ROOFTOP,49.2522023,-123.1223905
125,Kensington Community Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"5175 DUMFRIES ST, VANCOUVER, BC",GEOMETRIC_CENTER,49.2385581,-123.0753333
128,Kitsilano War Memorial Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2690 LARCH ST, VANCOUVER, BC",ROOFTOP,49.2615316,-123.162041
131,Evelyne Saller Centre,Leisure / Community Centres,General,Indoor,Public,,"320 ALEXANDER ST, VANCOUVER, BC",ROOFTOP,49.28395099999999,-123.096892
132,Mount Pleasant Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1 KINGSWAY, VANCOUVER, BC",ROOFTOP,49.26430999999999,-123.10041
134,Renfrew Park Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2929 E 22ND AVE, VANCOUVER, BC",GEOMETRIC_CENTER,49.2518833,-123.0427592
137,Strathcona Community Centre,Leisure / Community Centres,General,Indoor,Public,,"601 KEEFER ST, VANCOUVER, BC",ROOFTOP,49.2797798,-123.0915463
139,West End Community Centre,Leisure / Community Centres,General,Indoor,Public,,"870 DENMAN ST, VANCOUVER, BC",ROOFTOP,49.2904892,-123.1365722
143,West Point Grey Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4397 W 2ND AVE, VANCOUVER, BC",ROOFTOP,49.27155339999999,-123.2051522
146,Lord Byng Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"3990 W 14TH AVE, VANCOUVER, BC",ROOFTOP,49.259309,-123.1928684
147,False Creek Community Centre,Leisure / Community Centres,General,Both,Public,,"1318 CARTWRIGHT ST, VANCOUVER, BC",GEOMETRIC_CENTER,49.2690046,-123.1346044
149,Roundhouse Community Arts & Recreation Centre,Leisure / Community Centres,General,Both,Public,,"181 ROUNDHOUSE MEWS, VANCOUVER, BC",ROOFTOP,49.273368,-123.1217496
151,Coal Harbour Community Centre,Leisure / Community Centres,General,Both,Public,,"480 BROUGHTON ST, VANCOUVER, BC",ROOFTOP,49.2900551,-123.1256944
154,Dunbar Community Centre,Leisure / Community Centres,General,Both,Public,,"4747 DUNBAR ST, VANCOUVER, BC",ROOFTOP,49.2437967,-123.1861423
157,Hastings Community Centre,Leisure / Community Centres,General,Both,Public,,"3096 E HASTINGS ST, VANCOUVER, BC",ROOFTOP,49.280658,-123.0394186
161,Gathering Place Community Centre,Leisure / Community Centres,General,Indoor,Public,,"609 HELMCKEN ST, VANCOUVER, BC",ROOFTOP,49.2780063,-123.1235633
163,Thunderbird Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2311 CASSIAR ST, VANCOUVER, BC",ROOFTOP,49.2638999,-123.0313168
166,Kerrisdale Community Centre,Leisure / Community Centres,General,Both,Public,,"5851 WEST BLVD, VANCOUVER, BC",ROOFTOP,49.2332521,-123.1564775
170,Killarney Community Centre,Leisure / Community Centres,General,Both,Public,,"6260 KILLARNEY ST, VANCOUVER, BC",ROOFTOP,49.2274099,-123.0443906
175,Creekside Community Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"1 ATHLETES WAY, VANCOUVER, BC",ROOFTOP,49.27172090000001,-123.1053657
178,Britannia Centre,Leisure / Community Centres,General,Both,Public,,"1661 NAPIER ST, VANCOUVER, BC",ROOFTOP,49.2750517,-123.070414
184,Marpole-Oakridge Community Centre,Leisure / Community Centres,General,Both,Public,,"990 W 59TH AVE, VANCOUVER, BC",ROOFTOP,49.2167952,-123.1288661
188,Marpole Curling Club,Ice,Curling,Indoor,Public,,"8730 HEATHER ST, VANCOUVER, BC",ROOFTOP,49.20638590000001,-123.123228
189,Carnegie Centre Community Centre,Leisure / Community Centres,General,Indoor,Public,,"401 MAIN ST, VANCOUVER, BC",ROOFTOP,49.281052,-123.1001272
192,Hillcrest Community Centre,Leisure / Community Centres,General,Both,Public,,"4575 CLANCY LORANGER WAY, VANCOUVER, BC",ROOFTOP,49.2442998,-123.1076556
198,Sunset Community Centre,Leisure / Community Centres,General,Both,Public,,"6810 MAIN ST, VANCOUVER, BC",ROOFTOP,49.2228633,-123.1011745
200,Trout Lake Community Centre,Leisure / Community Centres,General,Both,Public,,"3360 VICTORIA DR, VANCOUVER, BC",ROOFTOP,49.2463966,-123.0647058
204,Champlain Heights Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3350 MAQUINNA DR, VANCOUVER, BC",ROOFTOP,49.2144481,-123.0320663
207,Ray-Cam Co-Operative Center,Leisure / Community Centres,General,Indoor,Public,,"920 E HASTINGS ST, VANCOUVER, BC",ROOFTOP,49.281381,-123.083589
210,Templeton Park Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"700 TEMPLETON DR, VANCOUVER, BC",ROOFTOP,49.2782966,-123.0599481
211,Vancouver Aquatic Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"1050 BEACH AVE, VANCOUVER, BC",ROOFTOP,49.2768415,-123.1353774
212,Connaught Park,Leisure / Community Centres,General,Both,Public,,"2390 W 10TH AVE, VANCOUVER, BC",ROOFTOP,49.2627999,-123.1597174
213,Kitsilano Community Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1.0,"2690 LARCH ST, VANCOUVER, BC",ROOFTOP,49.2615316,-123.162041
215,Sunset Arena,Ice,Single surface,Indoor,Public,,"390 E 51ST AVE, VANCOUVER, BC",ROOFTOP,49.2231447,-123.0980992
216,Kerrisdale Cyclone Taylor Arena,Ice,Single surface,Indoor,Public,,"5670 EAST BLVD, VANCOUVER, BC",ROOFTOP,49.2353056,-123.1539567
218,UBC Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,,"6160 THUNDERBIRD BLVD, VANCOUVER, BC",ROOFTOP,49.2599145,-123.2443866
219,The Arbutus Club,Aquatics,25m pool with or without other pools,Indoor,Private,,"2001 NANTON AVE, VANCOUVER, BC",ROOFTOP,49.2487192,-123.1517219
226,Stan Stronge Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"719 W 59TH AVE, VANCOUVER, BC",ROOFTOP,49.2176892,-123.121079
227,Aquatics at the JCCGV,Aquatics,25m pool with or without other pools,Indoor,Public,1.0,"950 W 41ST AVE, VANCOUVER, BC",ROOFTOP,49.23344280000001,-123.1267225
228,Jewish Community Centre of Greater Vancouver,Leisure / Community Centres,General,Indoor,Public,1.0,"950 W 41ST AVE, VANCOUVER, BC",ROOFTOP,49.23344280000001,-123.1267225
231,Aquaventures Swim Centre,Aquatics,25m pool with or without other pools,Indoor,Public,1.0,"1630 W 5TH AVE, VANCOUVER, BC",ROOFTOP,49.2666823,-123.1420412
232,Kerr Pool at St. George's School,Aquatics,25m pool with or without other pools,Indoor,Private,,"4175 W 29TH AVE, VANCOUVER, BC",GEOMETRIC_CENTER,49.2471603,-123.1983488
233,UBC Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"6080 STUDENT UNION BLVD, VANCOUVER, BC",RANGE_INTERPOLATED,49.26844980000001,-123.2497574
234,YWCA Health + Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"535 HORNBY ST, VANCOUVER, BC",ROOFTOP,49.2855342,-123.1177823
237,Robert Lee YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"955 BURRARD ST, VANCOUVER, BC",ROOFTOP,49.2818276,-123.125498
241,Propel Swimming Lessons,Aquatics,25m pool with or without other pools,Indoor,Private,,"1234 HORNBY ST, VANCOUVER, BC",ROOFTOP,49.2778649,-123.1284885
242,Swim Lessons Vancouver,Aquatics,25m pool with or without other pools,Indoor,Private,,"1088 BURRARD ST, VANCOUVER, BC",ROOFTOP,49.2801681,-123.1271342
243,Roundhouse Community Arts & Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"181 ROUNDHOUSE MEWS, VANCOUVER, BC",ROOFTOP,49.273368,-123.1217496
244,UBC Student Recreation Centre,Ice,Single surface,Indoor,Private,,"6000 STUDENT UNION BLVD, VANCOUVER, BC",ROOFTOP,49.2683872,-123.2489651
247,Old Barn Community Centre,Leisure / Community Centres,General,Indoor,Private,,"6308 THUNDERBIRD BLVD, VANCOUVER, BC",ROOFTOP,49.2588431,-123.2482067
