Facility_ID,Facility_Name,address,google_type,google_latitude,google_longitude
20,Abbotsford Ice Rink,"14-34100 S FRASER WAY, ABBOTSFORD, BC",ROOFTOP,49.0394751,-122.2786691
27,Performance Tennis Academy,"125-2550 YALE CT, ABBOTSFORD, BC",ROOFTOP,49.047141,-122.2693096
259,Ajyal Islamic Centre,"202-181 KEEFER PL, VANCOUVER, BC",ROOFTOP,49.2800746,-123.108579
299,Surrey Sport & Leisure Complex,"100-16555 FRASER HWY, SURREY, BC",ROOFTOP,49.1524076,-122.7643271
338,Newton Youth Hub,"114-13479 76 AVE, SURREY, BC",ROOFTOP,49.14160529999999,-122.84906
405,City Centre Community Centre,"105-5900 MINORU BLVD, RICHMOND, BC",ROOFTOP,49.1713889,-123.1397222
446,Stage 18 Badminton Centre,"170-2351 NO 6 RD, RICHMOND, BC",ROOFTOP,49.1798826,-123.0697191
447,Richmond Pro Badminton Centre,"130-5800 MINORU BLVD, RICHMOND, BC",ROOFTOP,49.1728068,-123.1387444
463,Place Maillardville Community Centre,"1200-1200 CARTIER AVE, COQUITLAM, BC",ROOFTOP,49.2408971,-122.8585229
595,Shuttlesport Badminton Academy,"1120-550 SHERLING PL, PORT COQUITLAM, BC",ROOFTOP,49.25169409999999,-122.7322662
625,Langley Sportsplex,"100-20165 91A AVE, LANGLEY CITY, BC",ROOFTOP,49.1691755,-122.6641754
627,National Hockey Training Centre,"110-20740 MUFFORD CRESCENT, LANGLEY CITY, BC",ROOFTOP,49.11547969999999,-122.6490693
646,ThirdSpace,"1-1381 GEORGE ST, WHITE ROCK, BC",ROOFTOP,49.0272613,-122.8000549
686,Cordova Bay 55 Plus,"1-5238 CORDOVA BAY ROAD, VICTORIA, BC",ROOFTOP,48.5242364,-123.3685693
708,Cook Street Village Activity Centre,"1-380 COOK ST, VICTORIA, BC",RANGE_INTERPOLATED,48.4261675,-123.3534146
712,Oaklands Community Centre,"1-2827 BELMONT AVE, VICTORIA, BC",ROOFTOP,48.4311441,-123.3385593
837,Vancouver Island YMCA-YWCA (Eagle Creek) ,"110-25 HELMCKEN RD, VICTORIA, BC",ROOFTOP,48.4680822,-123.427215
1296,Elevation Place,"100-700 RAILWAY AVE, CANMORE , AB",ROOFTOP,51.091044,-115.355315
1316,Community Yoga Cochrane,"5-123 2 AVE W, COCHRANE, AB",ROOFTOP,51.191136,-114.469214
1504,Edmonton Chinese Seniors Recreation Group,"3Y-11111 JASPER AVE, EDMONTON, AB",ROOFTOP,53.5401572,-113.5134871
1600,Magic Space Indoor Playground,"102-9058 22 AVE SW, EDMONTON, AB",ROOFTOP,53.4137913,-113.4803927
1603,Amazone Playzone,"173-3210 118 AVE NW, EDMONTON, AB",ROOFTOP,53.57145509999999,-113.3896116
1651,Moyer Recreation Centre,"4-54569 RANGE ROAD 215, STRATHCONA COUNTY, AB",ROOFTOP,53.7129212,-113.0700161
1656,Strathcona Olympiette Centre,"25-52029 RANGE ROAD 224, STRATHCONA COUNTY, AB",ROOFTOP,53.45984960000001,-113.1922125
1668,Josephburg,"57-54569 RANGE RD 215, STRATHCONA COUNTY, AB",ROOFTOP,53.7141461,-113.0692163
1669,Josephburg - Area 5 Seniors,"57A-54569 RANGE RD 215, STRATHCONA COUNTY, AB",ROOFTOP,53.7131723,-113.0701833
1673,South Cooking Lake,"100-22106 S COOKING LAKE RD, STRATHCONA COUNTY, AB",GEOMETRIC_CENTER,53.4103664,-113.1177962
1674,South Cooking Lake Seniors' Centre,"102-22106 S COOKING LAKE RD, STRATHCONA COUNTY, AB",ROOFTOP,53.4119846,-113.117133
1767,Dale Fisher Arena,"32 HAVEN AVENUE, DEVON, AB",ROOFTOP,53.362268,-113.727431
1823,Family Centre Downtown,"225-200 4 AVENUE SOUTH, LETHBRIDGE, AB",ROOFTOP,49.69363209999999,-112.8405697
1950,Federation des Francophones de Saskatoon,"211-308 4TH AVE N, SASKATOON, SK",RANGE_INTERPOLATED,52.1328057,-106.6581367
2060,Freight House Recreation and Leisure Centre,"1-200 ISABEL STREET, WINNIPEG, MB",RANGE_INTERPOLATED,49.9028345,-97.14908969999999
2404,Rhino Sports and Playland,"7-199 BELL BLVD, BELLEVILLE, ON",ROOFTOP,44.1851533,-77.4038515
