address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
" 550 Rue du Parc, Saint-Lin - Laurentides",,Saint-Lin-Laurentides,Piscine Municipale Ville De Saint-Lin-Des-Laurentides,https://fr-ca.facebook.com/pages/category/Public-Swimming-Pool/Complexe-aquatique-Ville-de-Saint-Lin-Laurentides-268556546602034/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.854407,-73.7520639
" 550 Rue du Parc, Saint-Lin - Laurentides",,Saint-Lin-Laurentides,Piscine Municipale Ville De Saint-Lin-Des-Laurentides,https://fr-ca.facebook.com/pages/category/Public-Swimming-Pool/Complexe-aquatique-Ville-de-Saint-Lin-Laurentides-268556546602034/,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.854407,-73.7520639
" 550 Rue du Parc, Saint-Lin - Laurentides",,Saint-Lin-Laurentides,Piscine Municipale Ville De Saint-Lin-Des-Laurentides,https://fr-ca.facebook.com/pages/category/Public-Swimming-Pool/Complexe-aquatique-Ville-de-Saint-Lin-Laurentides-268556546602034/,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.854407,-73.7520639
" 550 Rue du Parc, Saint-Lin - Laurentides",,Saint-Lin-Laurentides,Piscine Municipale Ville De Saint-Lin-Des-Laurentides,https://fr-ca.facebook.com/pages/category/Public-Swimming-Pool/Complexe-aquatique-Ville-de-Saint-Lin-Laurentides-268556546602034/,Aquatics,Spray parks / splash pads,Indoor,Public,,,,,,,,,,,,45.854407,-73.7520639
"1 Chemin Fournel, Sainte-Anne-des-Lacs, QC",,Sainte-Anne-des-Plaines,Sainte-Anne-des-Lacs Community Centre,https://www.sadl.qc.ca/vie-citoyenne/loisirs-culture-et-vie-communautaire/centre-communautaire/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.860639,-74.12629
"1, 1re Avenue, Delson, QC",,Delson,Centre communautaire de Delson,https://www.ville.delson.qc.ca/fr/services-municipaux/loisirs-et-culture/location-de-salles/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.3747531,-73.5416864
"1, rue de l'Hôtel-de-Ville, Léry (Québec)",,Léry,Salle Adolphe-Leduc,https://www.lery.ca/component/content/article/37-francais/services/urbanisme/communications-urbanisme/98-assemblee-publique-de-consultation-nouveau-plan-d-urbanisme?Itemid=103,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.344821,-73.806148
"1, rue du Parc, Coteau-du-Lac, QC",,Coteau-du-Lac,École de Coteau-du-Lac (Pavillon Saint-Ignace),https://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-saint-ignace,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.2941348,-74.1756981
"10 Rue Bella-Vista, Saint-Basile-le-Grand, QC",,Saint-Basile-le-Grand,Aréna Jean-Rougeau,https://www.ville.saint-basile-le-grand.qc.ca/carte-interactive/arena-jean-rougeau/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5156661,-73.2938805
"10 Rue Bella-Vista, Saint-Basile-le-Grand, QC",,Saint-Basile-le-Grand,Aréna Jean-Rougeau,https://www.ville.saint-basile-le-grand.qc.ca/carte-interactive/arena-jean-rougeau/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,45.5156661,-73.2938805
"10 Rue Gilmour, Chateauguay, QC",,Châteauguay,Centre D'Action Benevole du Grand Chateauguay,http://www.cabchateauguay.org/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.3771143,-73.7487221
"10 Rue Proulx O, Laval, QC",,Laval,Le Rendez-Vouz des Aines,http://www.ccrva.org/,Leisure / Community Centres,Seniors,Indoor,Public,,,,,,,,,,,,45.5679443,-73.6912998
"10 Rue Radisson, La Prairie",,Candiac,Complexe Sportif Candiac,https://www.complexesportifcandiac.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.3784785,-73.5329602
"10 Rue Radisson, La Prairie",,Candiac,Complexe Sportif Candiac,https://www.complexesportifcandiac.com/,Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,,45.3784785,-73.5329602
"10 Rue Radisson, La Prairie",,Candiac,Complexe Sportif Candiac,https://www.complexesportifcandiac.com/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.3784785,-73.5329602
"10 Rue les Pins, Laval, QC",,Laval,Club de Curling Laval-sur-le-Lac,https://www.laval.ca/lieux/Pages/Fr/club-de-curling-laval-sur-le-lac.aspx,Ice,Curling,Indoor,Private,,,,,,,,,,,,45.524547,-73.881412
"100 Avenue de Delson, Delson, QC",,Delson,Centre sportif de Delson,https://www.ville.delson.qc.ca/fr/services-municipaux/loisirs-et-culture/activites/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.3729482,-73.5475302
"100 Avenue de Delson, Delson, QC",,Delson,Centre sportif de Delson,https://www.ville.delson.qc.ca/fr/services-municipaux/loisirs-et-culture/parcs-et-installations-recreatives/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,45.3729482,-73.5475302
"100 Avenue de Delson, Delson, QC",,Delson,Centre sportif de Delson,https://www.ville.delson.qc.ca/fr/services-municipaux/loisirs-et-culture/location-de-salles/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.3729482,-73.5475302
"100 Harwood, Beaconsfield, QC",,Beaconsfield,Beacon Hill Chalet,https://www.beaconsfield.ca/en/park-chalets-1,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4399902,-73.8424119
"100 Montee Major, Laval, QC",,Laval,Arena Cartier,https://www.laval.ca/lieux/Pages/Fr/arena-cartier.aspx,Ice,Single surface,Indoor,Public,,,,,,,,,,,,45.5587751,-73.6843845
"100 Rue Michel, Mont-Saint-Hilaire, QC",,Mont-Saint-Hilaire,Maison des Jeunes des Quatre Fenetres,http://mdj4f.ca/,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,45.5561914,-73.1922269
"100 Rue du Centre-Civique, Mont-Saint-Hilaire, QC",,Mont-Saint-Hilaire,Centre Aquatique Mont Saint-Hilaire,https://www.villemsh.ca/sports-culture-et-loisirs/centre-aquatique/,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.564686,-73.191525
"100 Rue du Centre-Civique, Mont-Saint-Hilaire, QC",,Mont-Saint-Hilaire,Centre Aquatique Mont Saint-Hilaire,https://www.villemsh.ca/sports-culture-et-loisirs/centre-aquatique/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.564686,-73.191525
