address,CMANAME,CSDNAME,Date inserted,Operator,Source URL1,Facility name,Facility Type,Facility Sub-type,Exposure,Ownership Type,Source description/comment,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Google Map Address,Unnamed: 22,lat,lon
"101 Centre St, Regina Beach, SK S0G 4C0",,Regina Beach,43844,SS,http://reginabeach.ca/community/facility-rentals/,Regina Beach Memorial Hall,Leisure / Community Centres,General,Indoor,Public,540 people,101,"Centre St, Regina Beach, SK S0G 4C0",Street,,Regina Beach,Saskatchewan,S0G 4C0,,,,,50.7952047,-104.9856544
"1010 McCarthy Blvd, S4T 0P6",,Regina,43838,SS,https://www.regina.ca/parks-recreation-culture/recreation-facilities/skating-rinks/,Jack Hamilton Arena,Ice,Single surface,Indoor,Public,Indoor arena,1010,McCarthy,Boulevard,,Regina,Saskatchewan,S4T 0P6,,,,,50.461857,-104.673371
"1127 Arnason Street, regina, SK, S4X 3V4",,Regina,43838,SS,https://www.regina.ca/parks-recreation-culture/recreation-facilities/major-recreation-centres/north-west-leisure-centre/,North West Leisure Centre,Aquatics,25m pool with or without other pools,Indoor,Public,Leisure pool,1127,Arnason,Street,,Regina,Saskatchewan,SAX 3V4,,,,,50.4954792,-104.6797463
"1127 Arnason Street, regina, SK, S4X 3V4",,Regina,43859,SS,https://www.regina.ca/parks-recreation-culture/recreation-facilities/major-recreation-centres/north-west-leisure-centre/,North West Leisure Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,Leisure pool,1127,Arnason,Street,,Regina,Saskatchewan,SAX 3V4,,,,,50.4954792,-104.6797463
"1127 Arnason Street, regina, SK, S4X 3V4",,Regina,43838,SS,https://www.regina.ca/parks-recreation-culture/recreation-facilities/skating-rinks/,Doug Wickenheiser Arena,Ice,Single surface,Indoor,Public,Indoor arena,1127,Arnason,Street,,Regina,Saskatchewan,S4X 3V4,,,,,50.4954792,-104.6797463
"114 King St, Balgonie, SK S0G 0E0",,Balgonie,43843,SS,https://townofbalgonie.ca/curling-rink/,Balgonie curling rink,Ice,Curling,Indoor,Public,Curling Rink,114,"King St, Balgonie, SK S0G 0E0",Street,,Balgonie,Saskatchewan,S0G 0E0,,,,,50.4906304,-104.2709821
"12 Ramm Ave, Pilot Butte, SK S0G 3Z0, Canada",,White City,,,https://whitecity.ca/directory/community-centre,White City Community Centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,,50.4462005,-104.3625013
"12 Ramm Ave, Pilot Butte, SK S0G 3Z0, Canada",,White City,43843,SS,https://whitecity.ca/directory/community-centre,White City Community Centre,Leisure / Community Centres,General,Indoor,Public,"rooms, trade shows, board meetings",12,"Ramm Ave, Pilot Butte, SK S0G 3Z0",Avenue,,White City,Saskatchewan,S0G 3Z0,,,,,50.4462005,-104.3625013
"124 2nd Ave, Edenwold, SK S0G 1K0",,Edenwold No. 158,43843,SS,https://www.villageofedenwold.ca/index.php/community/business-and-facilities,Edenwold Memorial Rink,Ice,Single surface,Indoor,Public,,124,"2nd Ave, Edenwold, SK S0G 1K0",Avenue,,Edenwold,Saskatchewan,S0G 1K0,,,,,50.634912,-104.2513319
"124 2nd Ave, Edenwold, SK S0G 1K0",,Edenwold,43843,SS,https://www.villageofedenwold.ca/index.php/community/business-and-facilities,Edenwold Memorial Rink,Ice,Single surface,Indoor,Public,No address,124,"2nd Ave, Edenwold, SK S0G 1K0",Avenue,,Edenwold,Saskatchewan,S0G 1K0,,,,,50.634912,-104.2513319
"130 Brotherton Ave, S4N 5G9",,Regina,43838,SS,https://www.regina.ca/parks-recreation-culture/recreation-facilities/skating-rinks/,Clarence Mahon Arena,Ice,Single surface,Indoor,Public,Indoor arena,130,Brotherton,Avenue,,Regina,Saskatchewan,S4N 5G9,,,,,50.4527473,-104.5553951
"1306 Lorne Ave, Saskatoon, SK S7H 1X8",,Buena Vista,43845,SS,https://www.saskatoon.ca/community-culture-heritage/neighbourhoods-community-associations/buena-vista,Buena Vista School Rink,Ice,Single surface,Indoor,Public,,100,7th Street East & MacPherson Avenue,Street,,Buena Vista,Saskatchewan,,,,,Should this not be classified under Saskatoon,52.1123098,-106.6698854
"132 Queen Street, Balgonie, SK S0G 0E0",,Balgonie,43844,SS,https://townofbalgonie.ca/50-centre/#,Balgonie Senior Citizens 50+ Centre,Leisure / Community Centres,Seniors,Indoor,Public,,132,"Queen Street, Balgonie, SK S0G 0E0",Street,,Balgonie,Saskatchewan,S0G 0E0,,,,,50.4904272,-104.2679852
