address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes,lat,lon
"1 Athletes Way, Vancouver, BC V5Y 0B1",,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,Leisure / Community Centres,General,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",,49.2717209,-123.1053657
"1 Athletes Way, Vancouver, BC V5Y 0B1",,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",,49.2717209,-123.1053657
"1 Athletes Way, Vancouver, BC V5Y 0B1",,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",,49.2717209,-123.1053657
"1 Kingsway, Vancouver, BC V5T 3H7",,,Mount Pleasant Community Centre,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,Leisure / Community Centres,General,Indoor,Public,1,Kingsway ,,Vancouver,BC,V5T 3H7,,,community centre and fitness,,49.26431,-123.10041
"1 Kingsway, Vancouver, BC V5T 3H7",,,Mount Pleasant Community Centre,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,Kingsway ,,Vancouver,BC,V5T 3H7,,,community centre and fitness,,49.26431,-123.10041
"100 W 49th Ave, Vancouver, BC V5Y 2Z6",,,Langara College Gymnasium and Lockers,https://langara.ca/campus-facilities/gym-and-lockers/index.html,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,100,W 49th Avenue ,,Vancouver,BC,V5Y 2Z6,,,"gymnasium, badminton",,49.2245437,-123.1087889
"100 W 49th Ave, Vancouver, BC V5Y 2Z6",,,Langara College Gymnasium and Lockers,https://langara.ca/campus-facilities/gym-and-lockers/index.html,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,100,W 49th Avenue ,,Vancouver,BC,V5Y 2Z6,,,"gymnasium, badminton",,49.2245437,-123.1087889
"1019 Broughton St, Vancouver, BC V6G 2A7",,,Gordon Neighbourhood House,https://gordonhouse.org/,Leisure / Community Centres,General,Indoor,Public,1019,Broughton Street,,Vancouver,BC,V6G 2A7,,,"programs for families, youth and seniors",,49.2857058,-123.1336593
"10388 Nordel Ct, Delta, BC V4G 1J7",,,Great Pacific Forum Planet Ice Delta,https://planetice.ca/delta/index.cfm,Ice,2+ surfaces,Indoor,Public,10387,Nordel Court,,Delta,BC,V4G 2L2,,,,,49.1486494,-122.9363338
"1041 Mt Gardner Rd, Bowen Island, BC V0N 1G0",,Bowen Island,Bowen Island Community Recreation,https://www.bowencommunityrecreation.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.3814217,-123.3422529
"1041 Mt Gardner Rd, Bowen Island, BC V0N 1G0",,,Bowen Island Community Recreation,https://www.bowencommunityrecreation.com/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,49.3814217,-123.3422529
"1050 Beach Ave, Vancouver, BC V6E 1T7",,,Vancouver Aquatic Centre,https://vancouver.ca/parks-recreation-culture/vancouver-aquatic-centre.aspx/,Aquatics,50m+ pool with or without other pools,Indoor,Public,1050,Beach Avenue,,Vancouver,BC,V6E 1T7,,,,,49.2768415,-123.1353774
"10588 160 St, Surrey, BC V4N 0A1",,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,Leisure / Community Centres,General,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",,49.1949992,-122.7771404
"10588 160 St, Surrey, BC V4N 0A1",,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",,49.1949992,-122.7771404
"10588 160 St, Surrey, BC V4N 0A1",,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",,49.1949992,-122.7771404
"1088 Burrard St, Vancouver, BC V6Z 2R9",,,Swim Lessons Vancouver,https://www.swimlessonsvancouver.ca/,Aquatics,25m pool with or without other pools,Indoor,Private,1088,Burrard Street,,Vancouver,BC,V6Z 2R9,,,private swimming lessons at the Sheraton Wall Centre Hotel Swim Pool,,49.2801681,-123.1271342
"10932 Barnston View Rd, Pitt Meadows, BC V3Y 0B9",,,South Bonson Community Centre,http://www.placemaillardville.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.2017956,-122.6802009
"10950 126a St, Surrey, BC V3W 7J9",,,North Surrey Sport & Ice Complex,https://www.surrey.ca/culture-recreation/23437.aspx,Ice,2+ surfaces,Indoor,Public,10950,126a Street,,Surrey,BC,V3W 7J9,,,"3 ice sheets, fitness",,49.1481612,-122.8720549
"10950 126a St, Surrey, BC V3W 7J9",,,North Surrey Sport & Ice Complex,https://www.surrey.ca/culture-recreation/23437.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,10950,126a Street,,Surrey,BC,V3W 7J9,,,"3 ice sheets, fitness",,49.1481612,-122.8720549
"110-13100 Mitchell Rd, Richmond, BC V6V 1M8",,,Badminton Vancouver,http://www.badminton-vancouver.com/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,49.2047772,-123.0794756
"11111 Horseshoe Way, Richmond, BC V7A 4Y1",,,Vancouver International Tennis Academy,https://vancouvertennisacademy.com/,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Private,1111,Horseshoe Way ,,Richmond,BC,V7A 4Y1,,,"tennis, fitness, swimming, racquet courts",,49.1314649,-123.0937797
"11111 Horseshoe Way, Richmond, BC V7A 4Y1",,,Vancouver International Tennis Academy,https://vancouvertennisacademy.com/,Aquatics,25m pool with or without other pools,Indoor,Private,1111,Horseshoe Way ,,Richmond,BC,V7A 4Y1,,,"tennis, fitness, swimming, racquet courts",,49.1314649,-123.0937797
"11111 Horseshoe Way, Richmond, BC V7A 4Y1",,,Vancouver International Tennis Academy,https://vancouvertennisacademy.com/,Aquatics,Leisure / wading pools,Indoor,Private,1111,Horseshoe Way ,,Richmond,BC,V7A 4Y1,,,"tennis, fitness, swimming, racquet courts",,49.1314649,-123.0937797
"11111 Horseshoe Way, Richmond, BC V7A 4Y1",,,Vancouver International Tennis Academy,https://vancouvertennisacademy.com/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,1111,Horseshoe Way ,,Richmond,BC,V7A 4Y1,,,"tennis, fitness, swimming, racquet courts",,49.1314649,-123.0937797
"11111 Horseshoe Way, Richmond, BC V7A 4Y1",,,Vancouver International Tennis Academy,https://vancouvertennisacademy.com/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,1111,Horseshoe Way ,,Richmond,BC,V7A 4Y1,,,"tennis, fitness, swimming, racquet courts",,49.1314649,-123.0937797
"112 E 3rd Ave, Vancouver, BC V5T 1C8",,,Tennis British Columbia,http://www.tennisbc.org/,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,112,E 3rd Avenue,,Vancouver,BC,V5T 1C8,,,,,49.2679414,-123.1023448
"11339 84 Ave, Delta, BC V4C 2L9",,,Boys & Girls Clubs of South Coast BC,https://bgcbc.ca/locations/hillside/,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,49.1563369,-122.9086057
"11415 84 Ave, Delta, BC V4C 2L9",,,Delta Thistle Curling Club,https://deltathistle.ca/,Ice,Curling,Indoor,Public,11415,84 Avenue,,Delta,BC,V4C 2L9,,,,,49.1570784,-122.9059379
"11415 84 Ave, Delta, BC V4C 2L9",,,North Delta Recreation Centre,http://www.delta.ca/parks-recreation/sport-recreation/indoor-facilities/north-delta-recreation-centre,Ice,2+ surfaces,Indoor,Public,11415,84 Avenue,,Delta,BC,V4C 2L9,,,"ice arena, outdoor pool, gym, fitness, curling",,49.1570784,-122.9059379
"11415 84 Ave, Delta, BC V4C 2L9",,,North Delta Recreation Centre,http://www.delta.ca/parks-recreation/sport-recreation/indoor-facilities/north-delta-recreation-centre,Ice,Curling,Indoor,Public,11415,84 Avenue,,Delta,BC,V4C 2L9,,,"ice arena, outdoor pool, gym, fitness, curling",,49.1570784,-122.9059379
"11415 84 Ave, Delta, BC V4C 2L9",,,North Delta Recreation Centre,http://www.delta.ca/parks-recreation/sport-recreation/indoor-facilities/north-delta-recreation-centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,11415,84 Avenue,,Delta,BC,V4C 2L9,,,"ice arena, outdoor pool, gym, fitness, curling",,49.1570784,-122.9059379
"11415 84 Ave, Delta, BC V4C 2L9",,,North Delta Recreation Centre,http://www.delta.ca/parks-recreation/sport-recreation/indoor-facilities/north-delta-recreation-centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,11415,84 Avenue,,Delta,BC,V4C 2L9,,,"ice arena, outdoor pool, gym, fitness, curling",,49.1570784,-122.9059379
"11435 Bonson Rd, Pitt Meadows, BC V3Y 2S3",,,Pitt Meadows Arena Complex,http://www.pittmeadowsarena.com/,Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,49.2114078,-122.6782959
"11475 126a St, Surrey, BC V3V 5G8",,,Bridgeview Community Centre,https://www.surrey.ca/culture-recreation/11534.aspx,Leisure / Community Centres,General,Both,Public,11475,126a Street,,Surrey,BC,V3V 5G8,,,"community centre, gym, fitness, tennis, sports fields, water park, playground",,49.2112504,-122.8717627
"11475 126a St, Surrey, BC V3V 5G8",,,Bridgeview Community Centre,https://www.surrey.ca/culture-recreation/11534.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,11475,126a Street,,Surrey,BC,V3V 5G8,,,"community centre, gym, fitness, tennis, sports fields, water park, playground",,49.2112504,-122.8717627
