address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"1 Rivard St., Ile-des-Chênes, MB",,Ritchot,TransCanada Centre,https://www.ritchot.com/p/recreation-centres-arenas-,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.7142924,-96.9948955
"1 Sir John Franklin Rd, Winnipeg, MB",,Winnipeg,Sir John Franklin Community Centre,https://corydoncc.com/facilities/sir-john-franklin-facilities/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.865876,-97.196205
"10 305 Pr, Brunkild, MB ",,Macdonald,Brunkild Memorial Recreation Centre,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.5911614,-97.5767748
"100 Ferry Rd, Winnipeg, MB",,Winnipeg,Bourkevale Community Centre,http://www.mybourkevale.com/p/hall-bookings.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8747145,-97.2195907
"101 MacDonald Rd., Oak Bluff, MB ",,Macdonald,Oak Bluff Recreation Centre,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.7717984,-97.3226263
"101 MacDonald Rd., Oak Bluff, MB ",,Macdonald,Oak Bluff Arena,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.7717984,-97.3226263
"101 Pembina Hwy, Winnipeg, MB",,Winnipeg,River Osborne Community Centre,https://www.google.ca/search?q=River+Osborne+Community+Centre&oq=River+Osborne+Community+Centre&aqs=chrome..69i57.652j0j4&sourceid=chrome&ie=UTF-8,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8747253,-97.1435127
"101 Pembina Hwy, Winnipeg, MB",,Winnipeg,River Osborne Community Centre,https://www.google.ca/search?q=River+Osborne+Community+Centre&oq=River+Osborne+Community+Centre&aqs=chrome..69i57.652j0j4&sourceid=chrome&ie=UTF-8,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8747253,-97.1435127
"1016 Almey Ave, Oakbank, MB ",,Springfield,Oakbank and District Community Club (OBCC),http://www.oakbankcc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9430677,-96.8389625
"1016 Almey Ave, Oakbank, MB ",,Springfield,Oakbank and District Community Club (OBCC),http://www.oakbankcc.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9430677,-96.8389625
"1016 Almey Avenue, Oakbank, MB",,Winnipeg,Oakbank & District Community Club & ONE Insurance Arena,https://springfield.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2Fdocuments%2Fcommunity_services%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=2019%20Community%20Services%20Directory.pdf,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9430677,-96.8389625
"1016 Almey Avenue, Oakbank, MB",,Winnipeg,Oakbank & District Community Club & ONE Insurance Arena,https://springfield.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2Fdocuments%2Fcommunity_services%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=2019%20Community%20Services%20Directory.pdf,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9430677,-96.8389625
"1078 Red River Drive, Howden, MB",,Ritchot,Howden Community Centre,https://www.ritchot.com/p/recreation-centres-arenas-,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.7180931,-97.1279824
"11 Thompson Avenue, Garson, MB",,Brokenhead 4,Garson Centennial Community Hall,http://rmofbrokenhead.ca/m/garson-centennial-community-hall,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.0783342,-96.7070568
"1101 Wabasha Street, MB",,Winnipeg,Transcona Kinsmen Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.9013852,-96.9982934
"1101 Wabasha Street, MB",,Winnipeg,Transcona Kinsmen Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9013852,-96.9982934
"1111 Wall St., MB",,Winnipeg,Sargent Park Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8973989,-97.181327
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1145 Strathcona Road, East Selkirk, MB",,St. Clements,East Selkirk Recreation Association,https://www.eastselkirkrec.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.1320406,-96.8277831
"115 Sanford Fleming Rd, Winnipeg, MB",,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.906716,-97.01832
"115 Sanford Fleming Rd, Winnipeg, MB",,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.906716,-97.01832
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
