CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
Vancouver,Vancouver,Douglas Park Community Centre,https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,"801 W 22nd Ave, Vancouver, BC V5Z 1Z8",Leisure / Community Centres,General,Both,Public,801,W 22nd Avenue,,Vancouver,BC,V5Z 1Z8,,,"community centre, fitness, tennis, sports fields, wading pool, playgrounds",
,,Douglas Park Community Centre,https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,"801 W 22nd Ave, Vancouver, BC V5Z 1Z8",Aquatics,Leisure / wading pools,Both,Public,801,W 22nd Avenue,,Vancouver,BC,V5Z 1Z8,,,"community centre, fitness, tennis, sports fields, wading pool, playgrounds",
,,Douglas Park Community Centre,https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx,"801 W 22nd Ave, Vancouver, BC V5Z 1Z8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,801,W 22nd Avenue,,Vancouver,BC,V5Z 1Z8,,,"community centre, fitness, tennis, sports fields, wading pool, playgrounds",
,,Kensington Community Centre,https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,"5175 Dumfries St, Vancouver, BC V5P 3A2",Leisure / Community Centres,Seniors,Indoor,Public,5175,Dumfries Street,,Vancouver,BC,V5P 3A2,,,"pool, fitness, senior's centre, skate park",
,,Kensington Community Centre,https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,"5175 Dumfries St, Vancouver, BC V5P 3A2",Aquatics,25m pool with or without other pools,Indoor,Public,5175,Dumfries Street,,Vancouver,BC,V5P 3A2,,,"pool, fitness, senior's centre, skate park",
,,Kensington Community Centre,https://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,"5175 Dumfries St, Vancouver, BC V5P 3A2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,5175,Dumfries Street,,Vancouver,BC,V5P 3A2,,,"pool, fitness, senior's centre, skate park",
,,Kitsilano War Memorial Community Centre,https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,"2690 Larch St, Vancouver, BC V6K 4K9",Leisure / Community Centres,General,Indoor,Public,2690,Larch Street,,Vancouver,BC,V6K 4K9,,,"community centre, fitness centre, ice rink, spray park",
,,Kitsilano War Memorial Community Centre,https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,"2690 Larch St, Vancouver, BC V6K 4K9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,2690,Larch Street,,Vancouver,BC,V6K 4K9,,,"community centre, fitness centre, ice rink, spray park",
,,Kitsilano War Memorial Community Centre,https://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,"2690 Larch St, Vancouver, BC V6K 4K9",Ice,Single surface,Indoor,Public,2690,Larch Street,,Vancouver,BC,V6K 4K9,,,"community centre, fitness centre, ice rink, spray park",
,,Evelyne Saller Centre,https://vancouver.ca/parks-recreation-culture/evelyne-saller-centre.aspx,"320 Alexander St, Vancouver, BC V6A 1C3",Leisure / Community Centres,General,Indoor,Public,320,Alexander Street,,Vancouver,BC,V6A 1C3,,,community centre for at risk adults,
,,Mount Pleasant Community Centre,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,"1 Kingsway, Vancouver, BC V5T 3H7",Leisure / Community Centres,General,Indoor,Public,1,Kingsway ,,Vancouver,BC,V5T 3H7,,,community centre and fitness,
,,Mount Pleasant Community Centre,https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,"1 Kingsway, Vancouver, BC V5T 3H7",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,Kingsway ,,Vancouver,BC,V5T 3H7,,,community centre and fitness,
,,Renfrew Park Community Centre,https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,"2929 E 22nd Ave, Vancouver, BC V5M 2Y3",Leisure / Community Centres,General,Indoor,Public,2929,E 22nd Avenue,,Vancouver,BC,V5M 2Y3,,,"community centre, indoor pool, wading pool, sports fields, playground, fitness",
,,Renfrew Park Community Centre,https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,"2929 E 22nd Ave, Vancouver, BC V5M 2Y3",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,2929,E 22nd Avenue,,Vancouver,BC,V5M 2Y3,,,"community centre, indoor pool, wading pool, sports fields, playground, fitness",
,,Renfrew Park Community Centre,https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,"2929 E 22nd Ave, Vancouver, BC V5M 2Y3",Aquatics,25m pool with or without other pools,Indoor,Public,2929,E 22nd Avenue,,Vancouver,BC,V5M 2Y3,,,"community centre, indoor pool, wading pool, sports fields, playground, fitness",
,,Strathcona Community Centre,https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,"601 Keefer St, Vancouver, BC V6A 3V8",Leisure / Community Centres,General,Indoor,Public,601,Keefer Street,,Vancouver,BC,V6A 3V8,,,"community centre for all ages, fitness, outdoor playground",
,,Strathcona Community Centre,https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,"601 Keefer St, Vancouver, BC V6A 3V8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,601,Keefer Street,,Vancouver,BC,V6A 3V8,,,"community centre for all ages, fitness, outdoor playground",
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Leisure / Community Centres,General,Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,"ice rink, children, youth and adult programds, fitness",
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,"ice rink, children, youth and adult programds, fitness",
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Ice,Single surface,Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,"ice rink, children, youth and adult programds, fitness",
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,,
,,West Point Grey Community Centre,http://westpointgrey.org/program-facility/,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Leisure / Community Centres,General,Indoor,Public,4397,W 2nd Avenue,,Vancouver,BC,V6R 1K4,,,"community centre with programs for children, youth, adults and seniors, gym, fitness",
