Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address
1,Abbotsford Recreation Centre,Ice,2+ surfaces,Both,Public,,"2499 MCMILLAN RD, ABBOTSFORD, BC"
8,Matsqui Recreation Centre (MRC),Leisure / Community Centres,General,Indoor,Public,,"3106 CLEARBROOK RD, ABBOTSFORD, BC"
13,Abbotsford Youth Commission,Leisure / Community Centres,Youth,Indoor,Public,1,"33355 BEVAN AVE, ABBOTSFORD, BC"
14,Abbotsford Seniors Association,Leisure / Community Centres,Seniors,Indoor,Public,1,"2631 CYRIL ST, ABBOTSFORD, BC"
15,MSA Arena,Ice,Single surface,Indoor,Public,,"2323 EMERSON ST, ABBOTSFORD, BC"
16,Abbotsford Exhibition Park,Ice,Single surface,Indoor,Public,,"32470 HAIDA DR, ABBOTSFORD, BC"
19,The Rinks at Summit Centre,Ice,2+ surfaces,Indoor,Public,,"104-3600 TOWNLINE RD, ABBOTSFORD, BC"
20,Abbotsford Ice Rink,Ice,Single surface,Indoor,Public,1,"34100S S FRASER WAY UNIT #14, ABBOTSFORD, BC"
21,Abbotsford Centre,Ice,Single surface,Indoor,Public,,"33800 KING RD, ABBOTSFORD, BC"
23,Envision Financial Athletic Centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Both,,"1395 MCKENZIE RD, ABBOTSFORD, BC"
25,Great West Fitness and Tennis Club,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"2550 YALE CT, ABBOTSFORD, BC"
27,Performance Tennis Academy,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,,"2550 YALE CT #125, ABBOTSFORD, BC"
28,Jubilee Hall,Leisure / Community Centres,General,Indoor,Public,1,"7989 BRADNER RD, ABBOTSFORD, BC"
29,Sweeney Neighbourhood Centre,Leisure / Community Centres,General,Indoor,Public,,"33355 BEVAN AVE, ABBOTSFORD, BC"
30,Straiton Community Hall,Leisure / Community Centres,General,Indoor,Public,1,"4698 SUMAS MOUNTAIN RD, ABBOTSFORD, BC"
31,Matsqui Community Hall,Leisure / Community Centres,General,Indoor,Public,1,"33676 ST OLAF AVE, ABBOTSFORD, BC"
32,Bradner Hall,Leisure / Community Centres,General,Indoor,Public,,"5305 BRADNER RD, ABBOTSFORD, BC"
33,Mission Leisure Centre,Ice,2+ surfaces,Indoor,Public,,"7650 GRAND ST, MISSION, BC"
41,Mission Golf & Country Club,Leisure / Community Centres,General,Indoor,Private,,"7983 NELSON ST, MISSION, BC"
42,Mission Seniors Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,1,"33100 10 AVE, MISSION, BC"
44,Kelowna Memorial Arena,Ice,Single surface,Indoor,Public,,"1424 ELLIS ST, KELOWNA, BC"
45,Capital News Centre,Ice,2+ surfaces,Indoor,Public,1,"4105 GORDON DR, KELOWNA, BC"
50,Rutland Twin Arena,Ice,2+ surfaces,Indoor,Public,,"645 DODD RD, KELOWNA, BC"
51,Kelowna Curling Club,Ice,Curling,Indoor,Public,1,"551 RECREATION AVE, KELOWNA, BC"
52,H2O Adventure + Fitness Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"4075 GORDON DR, KELOWNA, BC"
57,Kelowna Family YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"375 HARTMAN RD, KELOWNA, BC"
62,Parkinson Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"1800 PARKINSON WAY, KELOWNA, BC"
67,Kelowna Downtown YMCA,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"1011-505 DOYLE AVE, KELOWNA, BC"
69,Energyplex Family Recreation Centre Kelowna,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,"948 MCCURDY RD, KELOWNA, BC"
70,Rutland Activity Centre,Leisure / Community Centres,General,Indoor,Public,,"765 DODD RD, KELOWNA, BC"
