Facility_ID,Facility_Name,STC Standard Civic Address
1,Abbotsford Recreation Centre,"2499 MCMILLAN RD, ABBOTSFORD, BC"
8,Matsqui Recreation Centre (MRC),"3106 CLEARBROOK RD, ABBOTSFORD, BC"
13,Abbotsford Youth Commission,"33355 BEVAN AVE, ABBOTSFORD, BC"
14,Abbotsford Seniors Association,"2631 CYRIL ST, ABBOTSFORD, BC"
15,MSA Arena,"2323 EMERSON ST, ABBOTSFORD, BC"
16,Abbotsford Exhibition Park,"32470 HAIDA DR, ABBOTSFORD, BC"
19,The Rinks at Summit Centre,"104-3600 TOWNLINE RD, ABBOTSFORD, BC"
20,Abbotsford Ice Rink,"14-34100 S FRASER WAY, ABBOTSFORD, BC"
21,Abbotsford Centre,"33800 KING RD, ABBOTSFORD, BC"
23,Envision Financial Athletic Centre,"1395 MCKENZIE RD, ABBOTSFORD, BC"
25,Great West Fitness and Tennis Club,"2550 YALE CT, ABBOTSFORD, BC"
27,Performance Tennis Academy,"125-2550 YALE CT, ABBOTSFORD, BC"
28,Jubilee Hall,"7989 BRADNER RD, ABBOTSFORD, BC"
29,Sweeney Neighbourhood Centre,"33355 BEVAN AVE, ABBOTSFORD, BC"
30,Straiton Community Hall,"4698 SUMAS MOUNTAIN RD, ABBOTSFORD, BC"
31,Matsqui Community Hall,"33676 ST OLAF AVE, ABBOTSFORD, BC"
32,Bradner Hall,"5305 BRADNER RD, ABBOTSFORD, BC"
33,Mission Leisure Centre,"7650 GRAND ST, MISSION, BC"
41,Mission Golf & Country Club,"7983 NELSON ST, MISSION, BC"
42,Mission Seniors Activity Centre,"33100 10 AVE, MISSION, BC"
44,Kelowna Memorial Arena,"1424 ELLIS ST, KELOWNA, BC"
45,Capital News Centre,"4105 GORDON DR, KELOWNA, BC"
50,Rutland Twin Arena,"645 DODD RD, KELOWNA, BC"
51,Kelowna Curling Club,"551 RECREATION AVE, KELOWNA, BC"
52,H2O Adventure + Fitness Centre,"4075 GORDON DR, KELOWNA, BC"
57,Kelowna Family YMCA,"375 HARTMAN RD, KELOWNA, BC"
62,Parkinson Recreation Centre,"1800 PARKINSON WAY, KELOWNA, BC"
67,Kelowna Downtown YMCA,"1011-505 DOYLE AVE, KELOWNA, BC"
69,Energyplex Family Recreation Centre Kelowna,"948 MCCURDY RD, KELOWNA, BC"
70,Rutland Activity Centre,"765 DODD RD, KELOWNA, BC"
73,Kinsmen Media Centre,"900 LEXINGTON DR, KELOWNA, BC"
74,Kinsmen Fieldhouse Hall,"3975 GORDON DR, KELOWNA, BC"
75,Metis Community Services,"147 PARK RD, KELOWNA, BC"
76,Airhouse Kelowna,"730 MCCURDY RD, KELOWNA, BC"
78,Okanagan Jewish Community Centre,"102 SNOWSELL ST N, KELOWNA, BC"
79,Joe Rich Community Hall,"11481 BC-33, KELOWNA, BC"
80,Kelowna Badminton Club,"1098 RICHTER ST, KELOWNA, BC"
81,The Hangar Fitness and Wellness Centre,"3211 ATHLETICS CT, KELOWNA, BC"
85,Cedar Creek Community Centre,"5160 CHUTE LAKE RD, KELOWNA, BC"
86,Kelowna United Mission Soccer Dome,"4075 GORDON DRIVE, KELOWNA, BC"
87,Okanagan Mission Activity Centre,"4398 HOBSON RD, KELOWNA, BC"
89,Prospera Place,"1223 WATER STREET, KELOWNA, BC"
90,Okanagan Boys & Girls Clubs ,"355 HARTMAN ROAD, KELOWNA, BC"
91,Martin Avenue Community Centre,"1434 GRAHAM ST, KELOWNA, BC"
92,Okanagan Mission Community Hall Association,"4409 LAKESHORE ROAD, KELOWNA BC"
93,Ellison Community Hall,"4411 OLD VERNON RD, KELOWNA, BC"
94,East Kelowna Hall,"2704 EAST KELOWNA ROAD, KELOWNA, BC"
95,Rutland Centennial Hall,"215 SHEPHERD ROAD KELOWNA, BC"
96,Jim Lind Arena,"2760 CAMERON RD, WEST KELOWNA, BC"
97,Ultimate Hockey Centre,"1322 STEVENS RD, WEST KELOWNA, BC"
98,Royal LePage Place Arena,"2760 CAMERON RD, WEST KELOWNA, BC"
100,Johnson Bentley Memorial Aquatic Centre,"3737 OLD OKANAGAN HWY, WEST KELOWNA, BC"
104,Lakeview Heights Community Hall,"860 ANDERS RD, WEST KELOWNA, BC"
105,West Kelowna Multi-Sport Dome,"2139 MCDOUGALL RD, WEST KELOWNA, BC"
107,Westside Senior Citizens Service Association Activity Centre,"3661 OLD OKANAGAN HWY, WEST KELOWNA, BC"
109,Webber Road Community Centre,"2829 INVERNESS RD, WEST KELOWNA, BC"
111,Westbank Lions Community Centre,"2466 MAIN ST, WEST KELOWNA, BC"
112,Westside Youth Centre,"2466 MAIN ST, WEST KELOWNA, BC"
113,Winfield Arena,"9830 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC"
114,Lake Country Seniors Activity Centre,"9832 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC"
115,Okanagan Centre Hall,"11099 MADDOCK AVE, LAKE COUNTRY, BC"
116,Beasley Community Centre,"3450 WOODSDALE RD, LAKE COUNTRY, BC"
117,Peachland Community Centre,"4450 6 ST, PEACHLAND, BC"
118,Peachland Wellness Centre,"4426 5TH ST, PEACHLAND, BC"
119,50+ Activity Centre,"5672 BEACH AVE, PEACHLAND, BC"
121,Okanagan Training Rink,"5204 27 AVE, VERNON, BC"
122,Douglas Park Community Centre,"801 W 22ND AVE, VANCOUVER, BC"
125,Kensington Community Centre,"5175 DUMFRIES ST, VANCOUVER, BC"
128,Kitsilano War Memorial Community Centre,"2690 LARCH ST, VANCOUVER, BC"
131,Evelyne Saller Centre,"320 ALEXANDER ST, VANCOUVER, BC"
132,Mount Pleasant Community Centre,"1 KINGSWAY, VANCOUVER, BC"
134,Renfrew Park Community Centre,"2929 E 22ND AVE, VANCOUVER, BC"
137,Strathcona Community Centre,"601 KEEFER ST, VANCOUVER, BC"
139,West End Community Centre,"870 DENMAN ST, VANCOUVER, BC"
143,West Point Grey Community Centre,"4397 W 2ND AVE, VANCOUVER, BC"
146,Lord Byng Pool,"3990 W 14TH AVE, VANCOUVER, BC"
147,False Creek Community Centre,"1318 CARTWRIGHT ST, VANCOUVER, BC"
149,Roundhouse Community Arts & Recreation Centre,"181 ROUNDHOUSE MEWS, VANCOUVER, BC"
151,Coal Harbour Community Centre,"480 BROUGHTON ST, VANCOUVER, BC"
154,Dunbar Community Centre,"4747 DUNBAR ST, VANCOUVER, BC"
157,Hastings Community Centre,"3096 E HASTINGS ST, VANCOUVER, BC"
161,Gathering Place Community Centre,"609 HELMCKEN ST, VANCOUVER, BC"
163,Thunderbird Community Centre,"2311 CASSIAR ST, VANCOUVER, BC"
166,Kerrisdale Community Centre,"5851 WEST BLVD, VANCOUVER, BC"
170,Killarney Community Centre,"6260 KILLARNEY ST, VANCOUVER, BC"
175,Creekside Community Recreation Centre,"1 ATHLETES WAY, VANCOUVER, BC"
178,Britannia Centre,"1661 NAPIER ST, VANCOUVER, BC"
184,Marpole-Oakridge Community Centre,"990 W 59TH AVE, VANCOUVER, BC"
188,Marpole Curling Club,"8730 HEATHER ST, VANCOUVER, BC"
189,Carnegie Centre Community Centre,"401 MAIN ST, VANCOUVER, BC"
192,Hillcrest Community Centre,"4575 CLANCY LORANGER WAY, VANCOUVER, BC"
198,Sunset Community Centre,"6810 MAIN ST, VANCOUVER, BC"
200,Trout Lake Community Centre,"3360 VICTORIA DR, VANCOUVER, BC"
204,Champlain Heights Community Centre,"3350 MAQUINNA DR, VANCOUVER, BC"
207,Ray-Cam Co-Operative Center,"920 E HASTINGS ST, VANCOUVER, BC"
210,Templeton Park Pool,"700 TEMPLETON DR, VANCOUVER, BC"
211,Vancouver Aquatic Centre,"1050 BEACH AVE, VANCOUVER, BC"
212,Connaught Park,"2390 W 10TH AVE, VANCOUVER, BC"
213,Kitsilano Community Centre,"2690 LARCH ST, VANCOUVER, BC"
215,Sunset Arena,"390 E 51ST AVE, VANCOUVER, BC"
216,Kerrisdale Cyclone Taylor Arena,"5670 EAST BLVD, VANCOUVER, BC"
218,UBC Tennis Centre,"6160 THUNDERBIRD BLVD, VANCOUVER, BC"
219,The Arbutus Club,"2001 NANTON AVE, VANCOUVER, BC"
226,Stan Stronge Pool,"719 W 59TH AVE, VANCOUVER, BC"
227,Aquatics at the JCCGV,"950 W 41ST AVE, VANCOUVER, BC"
228,Jewish Community Centre of Greater Vancouver,"950 W 41ST AVE, VANCOUVER, BC"
231,Aquaventures Swim Centre,"1630 W 5TH AVE, VANCOUVER, BC"
232,Kerr Pool at St. George's School,"4175 W 29TH AVE, VANCOUVER, BC"
233,UBC Aquatic Centre,"6080 STUDENT UNION BLVD, VANCOUVER, BC"
234,YWCA Health + Fitness Centre,"535 HORNBY ST, VANCOUVER, BC"
237,Robert Lee YMCA,"955 BURRARD ST, VANCOUVER, BC"
241,Propel Swimming Lessons,"1234 HORNBY ST, VANCOUVER, BC"
242,Swim Lessons Vancouver,"1088 BURRARD ST, VANCOUVER, BC"
243,Roundhouse Community Arts & Recreation Centre,"181 ROUNDHOUSE MEWS, VANCOUVER, BC"
244,UBC Student Recreation Centre,"6000 STUDENT UNION BLVD, VANCOUVER, BC"
247,Old Barn Community Centre,"6308 THUNDERBIRD BLVD, VANCOUVER, BC"
249,Westbrook Community Centre,"3335 WEBBER LN, VANCOUVER, BC"
252,Langara Family YMCA,"282 W 49TH AVE, VANCOUVER, BC"
255,Barclay Manor,"1447 BARCLAY ST, VANCOUVER, BC"
257,Collingwood Neighbourhood House,"5288 JOYCE ST, VANCOUVER, BC"
258,Downtown Eastside Neighbourhood House,"573 E HASTINGS ST, VANCOUVER, BC"
259,Ajyal Islamic Centre,"202-181 KEEFER PL, VANCOUVER, BC"
260,Gordon Neighbourhood House,"1019 BROUGHTON ST, VANCOUVER, BC"
261,Langara College Gymnasium and Lockers,"100 W 49TH AVE, VANCOUVER, BC"
263,Vancouver Racquets Club,"4867 ONTARIO ST, VANCOUVER, BC"
265,Vancouver Lawn Tennis & Badminton Club,"1630 W 15TH AVE, VANCOUVER, BC"
269,Tennis British Columbia,"112 E 3RD AVE, VANCOUVER, BC"
270,Jericho Tennis Club,"3837 POINT GREY RD, VANCOUVER, BC"
272,South Vancouver Neighbourhood House,"6470 VICTORIA DR, VANCOUVER, BC"
273,Russian Community Centre,"2114 W 4TH AVE, VANCOUVER, BC"
274,Kiwassa Neighbourhood House,"2425 OXFORD ST, VANCOUVER, BC"
275,Peretz Centre for Secular Jewish Culture,"6184 ASH ST, VANCOUVER, BC"
276,OAC Hall,"5350 BAILLIE ST, VANCOUVER, BC"
277,Slocan Community Hall,"2750 E 29TH AVE, VANCOUVER, BC"
278,Vancouver Curling Club,"4575 CLANCY LORANGER WAY, VANCOUVER, BC"
279,Vancouver Family Connections,"2425 OXFORD ST, VANCOUVER, BC"
280,Polish Community Centre,"4015 FRASER ST, VANCOUVER, BC"
281,Korean Community Centre,"1320 E HASTINGS ST, VANCOUVER, BC"
282,Marpole Neighbourhood House,"8585 HUDSON ST, VANCOUVER, BC"
283,Downtown Eastside Women's Centre,"302 COLUMBIA ST, VANCOUVER, BC"
284,South Hill Neighbourhood Centre,"5888 FRASER ST, VANCOUVER, BC"
285,West End Rink,"1750 HARO ST, VANCOUVER, BC"
286,Cloverdale Curling Rink,"6150 176 STREET, SURREY, BC"
287,South Surrey Indoor Pool,"14655 17 AVE, SURREY, BC"
290,Bridgeview Community Centre,"11475 126A ST, SURREY, BC"
292,Newton Recreation Centre,"13730 72 AVE, SURREY, BC"
296,Grandview Heights Aquatic Centre,"16855 24 AVE, SURREY, BC"
299,Surrey Sport & Leisure Complex,"100-16555 FRASER HWY, SURREY, BC"
304,Guildford Recreation Centre,"15105 105 AVE, SURREY, BC"
308,Newton Arena,"7120 136B ST, SURREY, BC"
309,South Surrey Arena,"2199 148 ST, SURREY, BC"
310,Excellent Ice,"15000 54A AVE, SURREY, BC"
311,Cloverdale Skating Club,"6090 176 ST, SURREY, BC"
312,North Surrey Sport & Ice Complex,"10950 126A ST, SURREY, BC"
314,South Surrey Recreation and Arts Centre,"14601 20 AVE, SURREY, BC"
