CMANAME,CSDNAME,Facility name,URL,Full Address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments
Montréal,Montréal,Atrium le 1000,https://www.le1000.com/en/skate,"1000 Rue de la Gauchetiere O, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Atrium le 1000,https://www.le1000.com/en/skate,"1000 Rue de la Gauchetiere O, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Legion Memorial Rink,https://montreal-west.ca/en/recreation/facilities-parks/arena-outdoor-rinks/,"220 Bedbrook Ave, Montreal West, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Howie Morenz,https://montreal.ca/en/places/arena-howie-morenz,"8650 Avenue Querbes, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Francis Bouillon,https://montreal.ca/lieux/arena-francis-bouillon,"3175 Rue de Rouen, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Ed Meagher Arena,http://www.concordia.ca/campus-life/recreation/facilities/arena.html,"7200 Sherbrooke St W, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Doug Harvey,http://www1.ville.montreal.qc.ca/banque311/content/c%C3%B4te-des-neiges%E2%80%93notre-dame-de-gr%C3%A2ce-%E2%80%93-ar%C3%A9nas,"4985 W Hill Ave, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Mount Royal Arena,https://montreal.ca/lieux?dc_coverage.boroughs.code=PMR&orderBy=dc_title&q=ar%C3%A9na,"4365 Cartier St, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint-Louis ,https://montreal.ca/lieux?dc_coverage.boroughs.code=PMR&orderBy=dc_title&q=ar%C3%A9na,"5633 Rue Saint-Dominique, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Bill-Durnan,http://www1.ville.montreal.qc.ca/banque311/content/c%C3%B4te-des-neiges%E2%80%93notre-dame-de-gr%C3%A2ce-%E2%80%93-ar%C3%A9nas,"4988 Vezina St, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Rene-Masson ,https://montreal.ca/lieux/arena-rene-masson,"9175 Boulevard Perras, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Rodrigue-Gilbert,https://montreal.ca/lieux/arena-rodrigue-gilbert,"1515 Boulevard du Tricentenaire, Montreal, QC",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Montréal,Arena St-Jean-Vianney,https://montreal.ca/lieux/arena-st-jean-vianney,"12640 Boulevard Gouin Est, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Complexe Sportif Marie-Victorin,https://montreal.ca/lieux/complexe-sportif-marie-victorin,"7000 Boulevard Maurice-Duplessis, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Complexe Sportif Marie-Victorin,https://montreal.ca/lieux/complexe-sportif-marie-victorin,"7000 Boulevard Maurice-Duplessis, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Complexe Sportif Marie-Victorin,https://montreal.ca/lieux/complexe-sportif-marie-victorin,"7000 Boulevard Maurice-Duplessis, Montreal, QC",Physical Recreation & Sports,Sport fields,Both,Public,,,,,,,,,,,
,Montréal,Complexe Sportif Marie-Victorin,https://montreal.ca/lieux/complexe-sportif-marie-victorin,"7000 Boulevard Maurice-Duplessis, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Both,Public,,,,,,,,,,,
,Montréal,Lower Canada College,https://www.lcc.ca/page.cfm?p=473,"4090 Avenue Royal, Montreal, QC, ",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Lower Canada College,https://www.lcc.ca/page.cfm?p=473,"4090 Avenue Royal, Montreal, QC, ",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Lower Canada College,https://www.lcc.ca/page.cfm?p=473,"4090 Avenue Royal, Montreal, QC, ",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,McConnell Arena,https://mcgillathletics.ca/sports/2012/11/5/1105124936.aspx,"3883 Rue University, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint Michel,https://montreal.ca/en/places/arena-de-saint-michel,"3440 Rue Jarry E, Montreal, QC",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Montréal,Maurice Richard Arena,"http://ville.montreal.qc.ca/portal/page?_pageid=9037,101773607&_dad=portal&_schema=PORTAL","2800 Viau St, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Chaumont,http://www1.ville.montreal.qc.ca/banque311/content/anjou-%E2%80%93-ar%C3%A9nas,"8750 Avenue Chaumont, Anjou, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Chenier,http://www1.ville.montreal.qc.ca/banque311/content/anjou-%E2%80%93-ar%C3%A9nas,"8200 Avenue Chenier, Anjou, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Pere Marquette,https://montreal.ca/lieux/arena-pere-marquette,"1605 Rue de Bellechasse, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint Donat ,https://montreal.ca/lieux/arena-saint-donat,"6750 Rue de Marseille, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Clement-Jette,https://montreal.ca/lieux/arena-clement-jette,"8780 Avenue Dubuuisson, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Garon,"https://ville.montreal.qc.ca/portal/page?_pageid=8717,97084024&_dad=portal&_schema=PORTAL","11212 Avenue Garon, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Fleury ,"https://ville.montreal.qc.ca/portal/page?_pageid=8717,97084024&_dad=portal&_schema=PORTAL","3700 Rue Fleury E, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Rolland,"http://ville.montreal.qc.ca/portal/page?_pageid=8717,97083929&_dad=portal&_schema=PORTAL","12000 Boulevard Rolland, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Town of Mount Royal Arena,https://www.ville.mont-royal.qc.ca/en/services-residents/recreational-facilities/skating-rinks-and-arena,"1050 Chemin de Dunkirk, Mont-Royal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Town Of Mount Royal Curling Club,http://www.tmrcurlingclub.com/,"5 Avenue Montgomery, Mont-Royal, QC",Ice,Curling,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Martin Brodeur ,http://www1.ville.montreal.qc.ca/banque311/content/saint-l%C3%A9onard-%E2%80%93-ar%C3%A9nas,"5300 Boulevard Robert, Saint-Leonard, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
