CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
Winnipeg (MN),Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,"1215 Archibald Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,"1215 Archibald Street, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,"1887 Pacific Avenue West, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,"1887 Pacific Avenue West, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Elmwood Kildonans ,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/elmwood_kildonan.stm,"909 Concordia Avenue, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
