idx,street_no,street_name,postal_code,city,province,address
18,4815,51 ave,T7N1M1,barrhead,alberta,"4815, 51 ave, barrhead, alberta"
33,,,T9N2J7,bonnyville,alberta,"bonnyville, alberta"
37,1100,hospital place,T1W1N2,canmore,alberta,"1100, hospital place, canmore, alberta"
43,4607,53 street,T4V1Y5,camrose,alberta,"4607, 53 street, camrose, alberta"
62,50a,avenue,T4N4E7,red deer,alberta,"50a, avenue, red deer, alberta"
103,3915,56 avenue,T9V1N9,lloydminster,alberta,"3915, 56 avenue, lloydminster, alberta"
132,7,hospital street,T9H1P2,fort mcmurray,alberta,"7, hospital street, fort mcmurray, alberta"
133,9401,86 avenue,T8L0C6,fort saskatchewan,alberta,"9401, 86 avenue, fort saskatchewan, alberta"
143,,10409-98 street,T8V2E8,grande prairie,alberta,"10409-98 street, grande prairie, alberta"
154,560,9 avenue w,T1V1B3,high river,alberta,"560, 9 avenue w, high river, alberta"
157,1280,switzer dr,T7V1V2,hinton,alberta,"1280, switzer dr, hinton, alberta"
164,960,19 street,T1J1W5,lethbridge,alberta,"960, 19 street, lethbridge, alberta"
179,7402,29 street,T9V3N1,lloydminster,alberta,"7402, 29 street, lloydminster, alberta"
185,,666-5 street sw,T1A4H6,medicine hat,alberta,"666-5 street sw, medicine hat, alberta"
207,10101,68 street,T8S1T6,peace river,alberta,"10101, 68 street, peace river, alberta"
236,1820,richmond road sw,T2T5C7,calgary,alberta,"1820, richmond road sw, calgary, alberta"
262,4448,front street se,T3M1M4,calgary,alberta,"4448, front street se, calgary, alberta"
317,881,mistassiniy road,T0G2K0,wabasca,alberta,"881, mistassiniy road, wabasca, alberta"
333,1629,115 ave,V1G3C7,dawson creek,british-columbia,"1629, 115 ave, dawson creek, british-columbia"
334,5145,11a ave,V4M1Z7,delta,british-columbia,"5145, 11a ave, delta, british-columbia"
335,1220,14 st e,V7J1K2,north vancouver,british-columbia,"1220, 14 st e, north vancouver, british-columbia"
336,22229,122 ave,V2X3X8,maple ridge,british-columbia,"22229, 122 ave, maple ridge, british-columbia"
