idx,street_no,street_name,postal_code,city,province,address
18,4815,51 ave,T7N1M1,barrhead,alberta,"4815, 51 ave, barrhead, alberta, T7N1M1"
33,,,T9N2J7,bonnyville,alberta,"bonnyville, alberta, T9N2J7"
37,1100,hospital place,T1W1N2,canmore,alberta,"1100, hospital place, canmore, alberta, T1W1N2"
43,4607,53 street,T4V1Y5,camrose,alberta,"4607, 53 street, camrose, alberta, T4V1Y5"
62,50a,avenue,T4N4E7,red deer,alberta,"50a, avenue, red deer, alberta, T4N4E7"
103,3915,56 avenue,T9V1N9,lloydminster,alberta,"3915, 56 avenue, lloydminster, alberta, T9V1N9"
132,7,hospital street,T9H1P2,fort mcmurray,alberta,"7, hospital street, fort mcmurray, alberta, T9H1P2"
133,9401,86 avenue,T8L0C6,fort saskatchewan,alberta,"9401, 86 avenue, fort saskatchewan, alberta, T8L0C6"
143,,10409-98 street,T8V2E8,grande prairie,alberta,"10409-98 street, grande prairie, alberta, T8V2E8"
154,560,9 avenue w,T1V1B3,high river,alberta,"560, 9 avenue w, high river, alberta, T1V1B3"
157,1280,switzer dr,T7V1V2,hinton,alberta,"1280, switzer dr, hinton, alberta, T7V1V2"
164,960,19 street,T1J1W5,lethbridge,alberta,"960, 19 street, lethbridge, alberta, T1J1W5"
179,7402,29 street,T9V3N1,lloydminster,alberta,"7402, 29 street, lloydminster, alberta, T9V3N1"
185,,666-5 street sw,T1A4H6,medicine hat,alberta,"666-5 street sw, medicine hat, alberta, T1A4H6"
207,10101,68 street,T8S1T6,peace river,alberta,"10101, 68 street, peace river, alberta, T8S1T6"
236,1820,richmond road sw,T2T5C7,calgary,alberta,"1820, richmond road sw, calgary, alberta, T2T5C7"
262,4448,front street se,T3M1M4,calgary,alberta,"4448, front street se, calgary, alberta, T3M1M4"
317,881,mistassiniy road,T0G2K0,wabasca,alberta,"881, mistassiniy road, wabasca, alberta, T0G2K0"
333,1629,115 ave,V1G3C7,dawson creek,british-columbia,"1629, 115 ave, dawson creek, british-columbia, V1G3C7"
334,5145,11a ave,V4M1Z7,delta,british-columbia,"5145, 11a ave, delta, british-columbia, V4M1Z7"
335,1220,14 st e,V7J1K2,north vancouver,british-columbia,"1220, 14 st e, north vancouver, british-columbia, V7J1K2"
336,22229,122 ave,V2X3X8,maple ridge,british-columbia,"22229, 122 ave, maple ridge, british-columbia, V2X3X8"
337,108-2777,gladwin road,V2T4V1,abbotsford,british-columbia,"108-2777, gladwin road, abbotsford, british-columbia, V2T4V1"
338,20878,123 ave,V2X4B2,maple ridge,british-columbia,"20878, 123 ave, maple ridge, british-columbia, V2X4B2"
339,13333,20 ave,V4A1Z3,surrey,british-columbia,"13333, 20 ave, surrey, british-columbia, V4A1Z3"
340,1416,102 ave,V1G2C9,dawson creek,british-columbia,"1416, 102 ave, dawson creek, british-columbia, V1G2C9"
341,4200,17 st,V1T8R7,vernon,british-columbia,"4200, 17 st, vernon, british-columbia, V1T8R7"
342,1985,treelane rd,V9W4G1,campbell river,british-columbia,"1985, treelane rd, campbell river, british-columbia, V9W4G1"
343,1990,treelane rd,V9W4E8,campbell river,british-columbia,"1990, treelane rd, campbell river, british-columbia, V9W4E8"
344,8983,216a st,V1M4C7,langley,british-columbia,"8983, 216a st, langley, british-columbia, V1M4C7"
345,12775,227 st,V2X6K5,maple ridge,british-columbia,"12775, 227 st, maple ridge, british-columbia, V2X6K5"
346,2980,25 ave ne,V1E3C7,salmon arm,british-columbia,"2980, 25 ave ne, salmon arm, british-columbia, V1E3C7"
347,404,29 st,V1N3T9,castlegar,british-columbia,"404, 29 st, castlegar, british-columbia, V1N3T9"
348,1201,30 st ne,V1E2B6,salmon arm,british-columbia,"1201, 30 st ne, salmon arm, british-columbia, V1E2B6"
