idx,facility_name,suggested_name,Name_Correction,Name_Match,all_names,source_facility_type,odhf_facility_type,suggested_type,Type_Match,Type_Correction,all_types,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,MISSING,hosp_group,dupe_flag,address
18,barrhead healthcare centre,barrhead healthcare centre,,TRUE,"['barrhead healthcare centre', 'barrhead community cancer centre']",general,Hospitals,Hospitals,TRUE,,['Hospitals'],Public Health Agency of Canada,,4815,51 ave,T7N1M1,barrhead,ab,4815 - 51st ave. barrhead ab t7n 1m1,Barrhead,4813019,48,54.1197041,-114.4001676,1,1,TRUE,"4815, 51 ave, barrhead, ab, T7N1M1"
33,bonnyville community cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,,,T9N2J7,bonnyville,ab,"bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393,4,2,FALSE,"bonnyville, ab, T9N2J7"
37,bow valley community cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,1100,hospital place,T1W1N2,canmore,ab,"1100 hospital place canmore, alberta, t1w 1n2",Canmore,4815023,48,51.092455,-115.35172,2,3,FALSE,"1100, hospital place, canmore, ab, T1W1N2"
43,camrose community cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab,"4607 – 53 street camrose, alberta, t4v 1y5",Camrose,4810011,48,53.014198,-112.830093,2,4,FALSE,"4607, 53 street, camrose, ab, T4V1Y5"
62,central alberta cancer centre,,,,,,Hospitals,,,,,Province of Alberta,3942,50a,avenue,T4N4E7,red deer,ab,"3942-50a avenue, red deer, alberta, t4n 4e7",Red Deer,4808011,48,52.2606267,-113.8183868,1,5,FALSE,"50a, avenue, red deer, ab, T4N4E7"
103,dr. cooke extended care centre,,,,,,Nursing and residential care facilities,,,,,Saskatchewan Health Authorities,,3915,56 avenue,T9V1N9,lloydminster,ab,"3915 – 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,53.273049,-110.019164,2,6,FALSE,"3915, 56 avenue, lloydminster, ab, T9V1N9"
132,fort mcmurray community cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,7,hospital street,T9H1P2,fort mcmurray,ab,"7 hospital street fort mcmurray, alberta t9h 1p2",Wood Buffalo,4816037,48,56.7176831,-111.3618006,2,7,FALSE,"7, hospital street, fort mcmurray, ab, T9H1P2"
133,fort saskatchewan community hospital,,,,,,Hospitals,,,,,Province of Alberta,,9401,86 avenue,T8L0C6,fort saskatchewan,ab,"9401 – 86 avenue, fort saskatchewan, alberta, t8l 0c6",Fort Saskatchewan,4811056,48,53.693159,-113.213229,2,8,FALSE,"9401, 86 avenue, fort saskatchewan, ab, T8L0C6"
143,grande prairie cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,,10409-98 street,T8V2E8,grande prairie,ab,"10409-98 street, grande prairie, alberta, t8v 2e8",Grande Prairie,4819012,48,55.175391,-118.788449,3,9,FALSE,"10409-98 street, grande prairie, ab, T8V2E8"
154,high river community cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,560,9 avenue w,T1V1B3,high river,ab,"560 9 avenue w high river, alberta t1v 1b3",High River,4806006,48,50.575135,-113.879344,2,10,FALSE,"560, 9 avenue w, high river, ab, T1V1B3"
157,hinton healthcare centre,hinton healthcare centre,,TRUE,"['hinton healthcare centre', 'hinton community cancer centre']",general,Hospitals,Hospitals,TRUE,,['Hospitals'],Public Health Agency of Canada,,1280,switzer dr,T7V1V2,hinton,ab,1280 switzer dr. hinton ab t7v 1v2,Hinton,4814019,48,53.398281,-117.58529,1,11,TRUE,"1280, switzer dr, hinton, ab, T7V1V2"
164,jack ady cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,960,19 street,T1J1W5,lethbridge,ab,"960 - 19th street, lethbridge, alberta, t1j 1w5",Lethbridge,4802012,48,49.68488,-112.814734,2,12,FALSE,"960, 19 street, lethbridge, ab, T1J1W5"
179,lloydminster continuing care centre,,,,,,Nursing and residential care facilities,,,,,Saskatchewan Health Authorities,,7402,29 street,T9V3N1,lloydminster,ab,"7402 - 29 street lloydminster, ab t9v 3n1",Lloydminster (Part),4810039,48,53.274952,-110.017784,2,13,FALSE,"7402, 29 street, lloydminster, ab, T9V3N1"
185,margery e. yuill cancer centre,,,,,,Hospitals,,,,,Province of Alberta,,,666-5 street sw,T1A4H6,medicine hat,ab,"666-5th street s.w., medicine hat, alberta, t1a 4h6",Medicine Hat,4801006,48,50.03456,-110.70232,3,14,FALSE,"666-5 street sw, medicine hat, ab, T1A4H6"
207,peace river community cancer centre,peace river community cancer centre,peace river community health centre,TRUE,"['peace river community cancer centre', 'peace river community health centre']",,Hospitals,Hospitals,TRUE,,['Hospitals'],Province of Alberta,,10101,68 street,T8S1T6,peace river,ab,"10101 – 68 street peace river, alberta, t8s 1t6",Peace River,4819038,48,56.23018745,-117.3536897,2,15,TRUE,"10101, 68 street, peace river, ab, T8S1T6"
236,richmond road diagnostic & treatment centre,,,,,,Hospitals,,,,,Province of Alberta,,1820,richmond road sw,T2T5C7,calgary,ab,"1820 richmond road sw calgary, alberta, t2t 5c7",Calgary,4806016,48,51.035999,-114.110878,2,16,FALSE,"1820, richmond road sw, calgary, ab, T2T5C7"
